type,Price(EGP),listing type,rent period,location,Area(m2),bedrooms,Bathrooms,Down payment,Instalment,post link,Full Descrption
Penthouse,"7,400,000",buy,N/A,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo",165,3,3,"EGP 5,550,000","EGP 50,000 monthly / 3 years",https://www.bayut.eg/en/property/details-503430424.html,Lowest price in market ready to move prime location direct on the club apartment sky loft for sale in Mountain view Icity compound new cairo
Chalet,"7,530,000",buy,N/A,"Dose, North Coast, Matruh",88,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503430089.html,"Chalet for sale with two fully furnished rooms by the sea in the compound Dose, near Marassi and Hacienda Bay."
Apartment,"5,500,000",buy,N/A,"Rehab City, New Cairo, Cairo",99,2,1,N/A,N/A,https://www.bayut.eg/en/property/details-503430043.html,Apartment for sale square view great price ready to move in near the Eastern Market first use price negotiable 99 sqmin Al Rehab 2 - New Cairo
Apartment,"4,623,556",buy,N/A,"Village West Compound, Sheikh Zayed, Giza",75,1,1,"EGP 3,205,000",N/A,https://www.bayut.eg/en/property/details-503429968.html,For sale a 75m studio at a bargain price inside Village West compound in Sheikh Zayed
Chalet,"1,850,000",buy,N/A,"Tahiti, North Coast, Matruh",70,2,1,N/A,N/A,https://www.bayut.eg/en/property/details-503429951.html,"70 sqm Chalet for Sale in Tahiti Land North Coast – 2 Bedrooms, Pool View, 500K Discount"
Townhouse,"15,200,000",buy,N/A,"Azzar 2, 5th Settlement, New Cairo, Cairo",205,4,4,"EGP 12,500,000",N/A,https://www.bayut.eg/en/property/details-503429942.html,Villa Town house corner 205m 4 bedrooms dp & installments in a prime location with open landscaped view in Azzar 2 Fifth Settlement New Cairo
Villa,"9,000,000",buy,N/A,"Joulz Compound, 6th of October, Giza",326,4,4,N/A,N/A,https://www.bayut.eg/en/property/details-503429912.html,Prime located villa in Joulz next to New Giza minutes from Arkan Plaza Sheikh Zayed
Chalet,"11,600,000",buy,N/A,"Youd, Ras Al Hekma, North Coast, Matruh",55,1,1,"EGP 5,800,000","EGP 139,333 monthly / 10 years",https://www.bayut.eg/en/property/details-503429872.html,1st Row Sea View | Your Downpayment = Your Discount! | YOUD Ras El Hekma
Apartment,"7,700,000",buy,N/A,"Rehab City, New Cairo, Cairo",160,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503429818.html,Apartment for sale garden view ready to move in super lux Sale includes kitchen typical floor A great deal 160 sqm in Al Rehab 1 - Phase 1 - New Cairo
Villa,"27,500,000",buy,N/A,"Patio Town Compound, 5th Settlement, New Cairo, Cairo",239,4,4,N/A,N/A,https://www.bayut.eg/en/property/details-503429666.html,Villa for sale in Patio town finished over 7 years
Apartment,"4,500,000",buy,N/A,"Madinaty, Cairo",96,2,1,N/A,N/A,https://www.bayut.eg/en/property/details-503429456.html,96 meters for sale b11 next to the spine
Apartment,"8,500,000",buy,N/A,"New Garden City, New Capital City, Cairo",211,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503429431.html,"Receive you apartment Fully Finished now, with a panoramic view of the iconic tower, just 10 minutes from the capital's airport and monorail statio"
Villa,"15,410,000",buy,N/A,"Sarai, Mostakbal City, Cairo",198,3,3,"EGP 9,900,000",N/A,https://www.bayut.eg/en/property/details-503429352.html,Standalone Villa for Sale in Sarai Rai Valleys with Private Pool – Best Price
Apartment,"10,500,000",buy,N/A,"Privado, Madinaty, Cairo",84,2,1,"EGP 2,800,000",N/A,https://www.bayut.eg/en/property/details-503429304.html,84 square meter apartment by the lakes
Chalet,"7,500,000",buy,N/A,"Downtown, Alamein, North Coast, Matruh",196,3,3,0% Down Payment,N/A,https://www.bayut.eg/en/property/details-503429238.html,"Enjoy this summer a beachfront chalet with panoramic views of the sea and lakes, with a 5% down payment and the longest payment period"
Apartment,"6,000,000",buy,N/A,"Sahl Hasheesh, Red Sea",126,2,1,N/A,N/A,https://www.bayut.eg/en/property/details-503429229.html,Luxury 2-Bedroom Apartment at Lana Hills – Sahl Hasheesh
Apartment,"8,000,000",buy,N/A,"Madinaty, Cairo",116,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503429183.html,"The most luxurious apartment in Madinaty, Building 10, with furniture, appliances, and finishes. Immediate delivery with keys. 116 square meters, first occupancy, never used."
Villa,"11,500,000",buy,N/A,"VYE Sodic Compound, Sheikh Zayed, Giza",374,5,5,N/A,N/A,https://www.bayut.eg/en/property/details-503429146.html,"Standalone villa in Vye Compound by SODIC, prime location near Beverly Hills and in front of The Estates, Emaar, Al Ahly Club, and Sphinx Airport."
Villa,"20,800,000",buy,N/A,"Mesca, Soma Bay, Red Sea",200,3,4,"EGP 1,040,000",N/A,https://www.bayut.eg/en/property/details-503429131.html,Unique Sea View Villa in Soma Bay | ONLY 5% Dp
Villa,"15,000,000",buy,N/A,"Badya Palm Hills Compound, 6th of October, Giza",750,6,7,N/A,N/A,https://www.bayut.eg/en/property/details-503429127.html,"Panoramic villa on the golf course, 750 meters, 3 floors with a private swimming pool, from Palm Hills Badya, next to MSA University and O West."
Apartment,"4,300,000",buy,N/A,"1st Settlement, New Cairo, Cairo",125,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503429021.html,Ali Mihwar Mostafa Kamel near Qubani in front of Aman Mall
Apartment,"4,300,000",buy,N/A,"New Obour City, Obour City, Cairo",168,3,3,"EGP 430,000","EGP 64,500 monthly / 5 years",https://www.bayut.eg/en/property/details-503428963.html,Your apartment in New Al Obour is ready for viewing! Live in luxury in the heart of a residential area and next to all services with a distinctive space.
Apartment,"8,300,000",buy,N/A,"The Curve, New Capital City, Cairo",252,4,3,"EGP 5,000,000",N/A,https://www.bayut.eg/en/property/details-503428715.html,"For sale, an apartment of 252m 80% finished ""Flexi Finish"", ""The Curve Compound"" by Corner Stone - New Administrative Capital"
Chalet,"6,200,000",buy,N/A,"Downtown, Alamein, North Coast, Matruh",164,2,2,0% Down Payment,N/A,https://www.bayut.eg/en/property/details-503428674.html,"A chalet in the first row on the tourist promenade directly opposite Al Alamein Towers, fully finished and ready for immediate occupancy with a 50% ca"
iVilla,"13,000,000",buy,N/A,"Mountain View iCity Compound, 6th of October, Giza",190,4,4,"EGP 650,000",N/A,https://www.bayut.eg/en/property/details-503428671.html,Limited Time Offer I_villa For Sale in A prime Location October City with Lowest Down payment
Villa,"22,000,000",buy,N/A,"Noor City, New Capital City, Cairo",213,3,3,"EGP 4,050,000",N/A,https://www.bayut.eg/en/property/details-503428641.html,"Townhouse villa, model Q2, for sale in Noor City. Commercial use, quick sale, large land area."
Apartment,"5,650,000",buy,N/A,"Madinaty, Cairo",116,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503428634.html,"Apartment for Sale in Madinaty – B10 A great opportunity to own a well-located apartment in Madinaty,"
Apartment,"5,000,000",buy,N/A,"Syaheia 1, 6th of October, Giza",165,3,1,N/A,N/A,https://www.bayut.eg/en/property/details-503428604.html,"Apartment for sale in Al-Siyahiya Al-Oula, in front of the club, steps to connect to Dahshour, a prime location."
Apartment,"3,400,000",buy,N/A,"6th of October, Giza",175,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503428589.html,"A semi-finished apartment for sale in October, district four."
Apartment,"3,750,000",buy,N/A,"L’Avenir, Mostakbal City, Cairo",131,2,3,N/A,N/A,https://www.bayut.eg/en/property/details-503428546.html,Apartment Ready to move perfect price completed service compound
Apartment,"7,100,000",buy,N/A,"Mazarine, Alamein, North Coast, Matruh",145,2,2,0% Down Payment,N/A,https://www.bayut.eg/en/property/details-503428460.html,"Enjoy this summer a fully finished, ready to move-in chalet in the heart of New Alamein City, with panoramic views of the sea and tourist towers."
Apartment,"10,500,000",buy,N/A,"Lake view Residence Compound, 5th Settlement, New Cairo, Cairo",140,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503428448.html,A Furnished Apartment for sale in Lakeview Residence - New Cairo
Apartment,"16,000,000",buy,N/A,"Madinaty, Cairo",243,4,3,N/A,N/A,https://www.bayut.eg/en/property/details-503428374.html,Exceptional Rare Opportunity for Sale in Madinaty B3 – Model 600 (Ground Floor with Private Garden
Apartment,"10,500,000",buy,N/A,"Lake view Residence Compound, 5th Settlement, New Cairo, Cairo",144,2,3,N/A,N/A,https://www.bayut.eg/en/property/details-503428366.html,A Furnished Apartment for sale in Lakeview Residence - New Cairo
Apartment,"11,100,000",buy,N/A,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo",130,3,3,"EGP 555,000","EGP 30,000 monthly / 8 years",https://www.bayut.eg/en/property/details-503428347.html,Hot Offer Garden Apartment For Sale in A prime Location New Cairo Ready To move
Apartment,"6,251,000",buy,N/A,"New Garden City, New Capital City, Cairo",163,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503427873.html,"Your apartment is finished and ready to move in, with a garden view, in a compound built in the Italian style in the heart of the New Administrative"
Villa,"10,000,000",buy,N/A,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo",280,4,3,N/A,N/A,https://www.bayut.eg/en/property/details-503426148.html,"immediate delivery: a 280m² villa + 213m² garden | For sale in Fifth Settlement, next to Shorouk City"
Villa,"21,500,000",buy,N/A,"Sawari, Moharam Bik, Alexandria",280,4,4,N/A,N/A,https://www.bayut.eg/en/property/details-503416552.html,Immediate handover directly from the owner: Villa in Sawary Villas compound with a direct lake view
Apartment,"5,800,000",buy,N/A,"Heliopolis, Cairo",128,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503385320.html,"Fully finished, super deluxe apartment for sale in the heart of Heliopolis, opposite City Centre Almaza, minutes from Cairo Airport"
Apartment,"4,250,000",buy,N/A,"Katameya Gardens Compound, 5th Settlement, New Cairo, Cairo",100,2,1,N/A,N/A,https://www.bayut.eg/en/property/details-503381339.html,"Fully Furnished Apartment for Sale – Prime Investment in Katameya Gardens, New Cairo Hotel-Style Furnished Apartment with Installments – Katameya Gard"
Penthouse,"14,500,000",buy,N/A,"Casa Compound, Sheikh Zayed, Giza",299,4,4,N/A,N/A,https://www.bayut.eg/en/property/details-503309110.html,Penthouse 257 sqm ultra super lux finished for sale under market price in casa Sodic Zayed city
iVilla,"11,500,000",buy,N/A,"Mountain View - October Park Compound, 6th of October, Giza",269,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503299050.html,I villa roof 269 sqm corner in prime location open view 20 % fully finished for sale by lowest price in Mountain view October park
Chalet,"5,400,000",buy,N/A,"La Vista Bay East, North Coast, Matruh",150,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503298203.html,Ready To Move - Sea View chalet 150m with high-end finishing For Sale In La Vista North Coast Ras El Hekma Minutes To Marassi - Alamein
Apartment,"3,700,000",buy,N/A,"Taj City Compound, 1st Settlement, New Cairo, Cairo",81,1,1,N/A,N/A,https://www.bayut.eg/en/property/details-503284108.html,"For less than half the price — a great deal on an apartment for sale in Taj City First Settlement, in front of the airport"
Chalet,"6,321,987",buy,N/A,"Cali Coast, Ras Al Hekma, North Coast, Matruh",103,2,2,"EGP 4,000,000",N/A,https://www.bayut.eg/en/property/details-503269591.html,"For sale: Chalet at a special price in Cali Coast, Ras El Hekma, North Coast, with a lagoon view, finished, ready for delivery in 2026."
Apartment,"8,000,000",buy,N/A,"Roushdy, Alexandria",260,4,3,N/A,N/A,https://www.bayut.eg/en/property/details-503188016.html,Apartment for sale 260 m Roshdy (directly on Syria Street)
Villa,"21,900,000",buy,N/A,"Creek Town Compound, 5th Settlement, New Cairo, Cairo",320,5,4,"EGP 1,600,000",N/A,https://www.bayut.eg/en/property/details-503146610.html,Villa standalone new cairo close to hydepark 5bedroom
Apartment,"18,000,000",buy,N/A,"Mivida Compound, 5th Settlement, New Cairo, Cairo",200,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503040460.html,Under market price fully finished with Acs and kitchen 3 bedrooms apartment for sale in Mivida compound Emaar new cairo
Villa,"45,000,000",buy,N/A,"Mena Garden City Compound, 6th of October, Giza",630,6,7,N/A,N/A,https://www.bayut.eg/en/property/details-502799199.html,Standalone villa fully finished with private pool 6 bedrooms in Amazing location for sale in Mena garden city al Motamyz district 6 October city
Apartment,"12,500,000",buy,N/A,"Sporting, Alexandria",235,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-502782510.html,Apartment for sale 235 m Sporting (Abu Qir St.)
Villa,"65,000,000",buy,N/A,"EL Patio 5, Shorouk City, Cairo",630,4,7,N/A,N/A,https://www.bayut.eg/en/property/details-502747262.html,"Villa for sale, Fully Finished Super Lux Ready to move 4 Bedrooms and Garden in El Patio 5 - EL Sherouk"
Apartment,"3,500,000",buy,N/A,"Eshraqa Compound, 6th of October, Giza",141,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-502699210.html,Apatrment for sale into 6th of october inside Eshraqa compound
Apartment,"7,916,000",buy,N/A,"Taj City Compound, 1st Settlement, New Cairo, Cairo",166,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-502543519.html,Urgent Sale! Premium Apartment in the Heart of First Settlement – Next to Taj Sultan in TAJ City Compound
Apartment,"5,000,000",buy,N/A,"Sheikh Zayed, Giza",180,3,3,"EGP 1,000,000",N/A,https://www.bayut.eg/en/property/details-501938149.html,"An 180 m² apartment in Sheikh Zayed, installment over 5 years, next to Hyper One, behind Royal City Compound, in front of Dorrat Compound and Emaar Compound, 3 minutes from Dandy Mall and the Cairo-Alexandria Road."
Apartment,"7,750,000",buy,N/A,"Sun Capital, Hadayek October, Giza",110,2,2,"EGP 387,500","EGP 380,000 monthly / 10 years",https://www.bayut.eg/en/property/details-500792706.html,Apartment for sale in Sun Capital / 6th of October READY TO MOVE
Villa,"12,000,000",buy,N/A,"Palm Villa, 6th of October, Giza",330,4,2,N/A,N/A,https://www.bayut.eg/en/property/details-503431646.html,"Villa for sale in October, Palm Villa Compound – behind Mall of Egypt | Very special location"
Chalet,"4,400,000",buy,N/A,"The Med, Ras Al Hekma, North Coast, Matruh",147,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503430799.html,Lagoon + Sea View Luxury Finished Corner Chalet 147m For Sale in The Med North Coast Ras El Hikma Next To Amwaj - Telal
Apartment,"5,500,000",buy,N/A,"Sarai, Mostakbal City, Cairo",172,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503430149.html,Sarai *S1* Apartment *BUA: 172 M²* *1st Floor* 3 Bedrooms *1 Master* 3 Bathrooms *View hub* *Ready to Move* Core&shell
Apartment,"15,000,000",buy,N/A,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo",141,3,2,"EGP 750,000","EGP 80,000 monthly / 9 years",https://www.bayut.eg/en/property/details-503430028.html,"Best location in Mountain View iCity Apartment with garden immediately in New Cairo, with installments over 9 years."
Apartment,"2,050,000",buy,N/A,"Hadayek al-Ahram, Giza",120,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503429756.html,120 square meter apartment side in the Pyramids Gardens - Gate Four - Euro Marché Street area
Townhouse,"15,500,000",buy,N/A,"Azzar 2, 5th Settlement, New Cairo, Cairo",225,3,4,"EGP 13,000,000",N/A,https://www.bayut.eg/en/property/details-503429728.html,Townhouse Villa for Sale 225m Lowest Price with DP & Installments Prime Location Open View at Azzar 2 Fifth Settlement New Cairo Near Al Marasem Fifth
Apartment,"13,500,000",buy,N/A,"Madinaty, Cairo",134,3,3,"EGP 2,000,000",N/A,https://www.bayut.eg/en/property/details-503429669.html,The whole world is talking about The Spine… a 135 square meter apartment in the first building on The Spine.
Townhouse,"18,200,000",buy,N/A,"Granville, New Capital City, Cairo",246,4,4,N/A,N/A,https://www.bayut.eg/en/property/details-503429559.html,"Corner townhouse for sale, ready for viewing, in a compound in the New Administrative Capital."
Apartment,"11,500,000",buy,N/A,"Rehab City, New Cairo, Cairo",205,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503429394.html,Apartment for sale garden view ready to move in typical floor near the club clean company finishing easy viewings in Al Rehab 1 - New Fifth Phase
Apartment,"6,180,000",buy,N/A,"Livyn, Shorouk City, Cairo",157,3,3,"EGP 309,000","EGP 15,000 monthly / 8 years",https://www.bayut.eg/en/property/details-503429199.html,"160 sq m Apartment with an open view directly opposite Madinaty, fully sea facing"
Chalet,"9,300,000",buy,N/A,"Soma Breeze, Soma Bay, Red Sea",106,2,3,0% Down Payment,N/A,https://www.bayut.eg/en/property/details-503428771.html,"Limited Offer, Chalet Full Seaview For Sale, Early Delivery"
Chalet,"9,300,000",buy,N/A,"Reef Town, Soma Bay, Red Sea",105,2,3,0% Down Payment,N/A,https://www.bayut.eg/en/property/details-503428727.html,"Limited Offer, Chalet Full Seaview For Sale, Early Delivery"
Apartment,"5,400,000",buy,N/A,"Madinaty, Cairo",107,2,1,N/A,N/A,https://www.bayut.eg/en/property/details-503428334.html,"Apartment for sale in Madinaty, 107m in B1"
Villa,"31,847,000",buy,N/A,"Alex West, Agami, Alexandria",290,6,6,"EGP 1,592,350","EGP 248,804 monthly / 8 years",https://www.bayut.eg/en/property/details-503428048.html,Villa for sale 290 m King Mariout (Alex West) with a down payment of 5% and the longest repayment period.
Apartment,"7,708,200",buy,N/A,"Valore Antoniades, Smoha, Alexandria",174,3,2,"EGP 3,854,100","EGP 128,470 monthly / 3 years",https://www.bayut.eg/en/property/details-503427912.html,Apartment for sale 174 m Smouha (Valory Antoniades)
Apartment,"25,350,000",buy,N/A,"Cairo Festival City, 5th Settlement, New Cairo, Cairo",168,2,3,"EGP 2,535,000",N/A,https://www.bayut.eg/en/property/details-503415497.html,2BD+Nany Ready to Move Installemnt 4 Yeras in CFC Cairo Festival City New Cairo
Villa,"65,000,000",buy,N/A,"Mivida Compound, 5th Settlement, New Cairo, Cairo",334,4,5,N/A,N/A,https://www.bayut.eg/en/property/details-503080802.html,"Villa for sale, Fully Finished Under Market Price Ready To Move in Mivida - New Cairo"
Other Residential,"340,000",buy,N/A,"Helwan, Cairo",21,1,1,N/A,N/A,https://www.bayut.eg/en/property/details-503064091.html,"Grave for sale, area 21 meters in the graves of 15 May City, Helwan"
Townhouse,"16,900,000",buy,N/A,"Palm Hills New Cairo Compound, 5th Settlement, New Cairo, Cairo",225,3,4,"EGP 14,500,000",N/A,https://www.bayut.eg/en/property/details-502800069.html,For sale Resale villa townhouse 225 m 3 bedrooms prime location Ready to Move in Palm Hills New Cairo compound New Cairo
Villa,"15,984,100",buy,N/A,"Jirian, Sheikh Zayed, Giza",185,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-502655283.html,Direct on the Nile Fully Finished Villa for Sale in Jirian - New Zayed
Villa,"8,309,198",buy,N/A,"Sarai, Mostakbal City, Cairo",155,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-502112431.html,A Luxury Villa With a Special Price for Sale With Installments Over 12 years in Sarai Compound
Villa,"17,500,000",buy,N/A,"Palm Hills New Cairo Compound, 5th Settlement, New Cairo, Cairo",199,4,4,"EGP 1,750,000",N/A,https://www.bayut.eg/en/property/details-503430631.html,family house finished HOT OFFER cash discount price with installments | palm hills new cairo
Chalet,"13,000,000",buy,N/A,"Direction White, Ras Al Hekma, North Coast, Matruh",100,2,1,"EGP 2,600,000",N/A,https://www.bayut.eg/en/property/details-503429982.html,"Finished chalet for sale in Direction White, Ras El Hekma, North Coast, Sea View"
Villa,"5,719,972",buy,N/A,"Madinaty, Cairo",150,4,4,N/A,N/A,https://www.bayut.eg/en/property/details-503429396.html,Villa for sale landscape view on the Suez Road in New Cairo
Apartment,"8,000,000",buy,N/A,"CIV West, Sheikh Zayed, Giza",179,3,3,"EGP 400,000","EGP 63,000 monthly / 10 years",https://www.bayut.eg/en/property/details-503429161.html,"Opportunity at the best price 5% down payment, an apartment for sale, 10 years installments, Sheikh Zayed CIV WEST"
Apartment,"8,028,100",buy,N/A,"Noor City, New Capital City, Cairo",147,3,3,"EGP 3,100,000",N/A,https://www.bayut.eg/en/property/details-503429110.html,"With a great opportunity, an apartment for sale 147m for sale in City of ???, delivery in 2026."
Apartment,"10,000,000",buy,N/A,"New Alamein City, Alamein, North Coast, Matruh",90,1,1,"EGP 1,000,000",N/A,https://www.bayut.eg/en/property/details-503416679.html,Next to Rixos Alamein and the towers Ready to move finished with furnished apartment for sale with installments in the North Coast
Villa,"35,008,688",buy,N/A,"Mivida Compound, 5th Settlement, New Cairo, Cairo",250,4,3,N/A,N/A,https://www.bayut.eg/en/property/details-503284968.html,With a prime View Fully Finished Luxury Villa For Sale in Mivida - New Cairo
Apartment,"28,000,000",buy,N/A,"Mivida Compound, 5th Settlement, New Cairo, Cairo",233,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503234256.html,"Apartment For Sale, Fully Finished 233SQM Special View RTM in Mivida - New Cairo"
Apartment,"5,546,000",buy,N/A,"Village West Compound, Sheikh Zayed, Giza",89,1,2,"EGP 3,700,000",N/A,https://www.bayut.eg/en/property/details-503170279.html,"For sale, a 89m studio on the ground floor with air conditioning inside Village West compound in Sheikh Zayed."
Chalet,"7,000,000",buy,N/A,"Blumar North Coast, Sidi Abdel Rahman, North Coast, Matruh",120,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-502614834.html,"At an unrepeatable price, a fully finished ground floor chalet with a garden, ready to move, furnished and equipped, in the second phase of Blumar Nor"
